,community
28,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2396854, 'name': '340 E 58th St', 'price_max': 2000, 'price_min': 1500, 'source_id': '0jk4bc3', 'sqft_max': 900, 'sqft_min': 500}"
29,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 1, 'id': 2394705, 'name': '43-39 158th St', 'price_max': 1375, 'price_min': 1375, 'source_id': 'd8f6t4k', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
30,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(877) 957-1775', 'id': 2294958, 'name': 'Stonehenge 33', 'price_max': 4490, 'price_min': 2660, 'source_id': '4zkjnnh', 'sqft_max': 939, 'sqft_min': 472}"
31,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(585) 643-7081', 'id': 2073897, 'name': 'Stonehenge 57', 'price_max': 7286, 'price_min': 2080, 'source_id': 'z8qw9ly', 'sqft_max': 730, 'sqft_min': 556}"
32,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'id': 2378131, 'name': '3572-3576 Dekalb Ave', 'price_max': 2300, 'price_min': 1395, 'source_id': 'k3y8wdc', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
33,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(516) 888-5395', 'id': 2378128, 'name': '1511-1521 Sheridan Ave', 'price_max': 1575, 'price_min': 1395, 'source_id': 'chkm1ge', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
34,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 1, 'contact_number': '(518) 313-1049', 'id': 2326656, 'name': 'THE WELLESLEY', 'price_max': 6500, 'price_min': 3500, 'source_id': '0y2epg3', 'sqft_max': 1350, 'sqft_min': 650}"
35,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2378129, 'name': '922-950 Bronx Park South', 'price_max': 1950, 'price_min': 1475, 'source_id': 'e57srkp', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
36,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2396854, 'name': '340 E 58th St', 'price_max': 2000, 'price_min': 1500, 'source_id': '0jk4bc3', 'sqft_max': 900, 'sqft_min': 500}"
37,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 1, 'id': 2394705, 'name': '43-39 158th St', 'price_max': 1375, 'price_min': 1375, 'source_id': 'd8f6t4k', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
38,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(877) 957-1775', 'id': 2294958, 'name': 'Stonehenge 33', 'price_max': 4490, 'price_min': 2660, 'source_id': '4zkjnnh', 'sqft_max': 939, 'sqft_min': 472}"
39,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(585) 643-7081', 'id': 2073897, 'name': 'Stonehenge 57', 'price_max': 7286, 'price_min': 2080, 'source_id': 'z8qw9ly', 'sqft_max': 730, 'sqft_min': 556}"
40,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'id': 2378131, 'name': '3572-3576 Dekalb Ave', 'price_max': 2300, 'price_min': 1395, 'source_id': 'k3y8wdc', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
41,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(516) 888-5395', 'id': 2378128, 'name': '1511-1521 Sheridan Ave', 'price_max': 1575, 'price_min': 1395, 'source_id': 'chkm1ge', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
42,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 1, 'contact_number': '(518) 313-1049', 'id': 2326656, 'name': 'THE WELLESLEY', 'price_max': 6500, 'price_min': 3500, 'source_id': '0y2epg3', 'sqft_max': 1350, 'sqft_min': 650}"
43,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2378129, 'name': '922-950 Bronx Park South', 'price_max': 1950, 'price_min': 1475, 'source_id': 'e57srkp', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
44,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4350', 'id': 2376284, 'name': '40 Park Avenue', 'price_max': 3350, 'price_min': 2500, 'source_id': 'pce2swv', 'sqft_max': 628, 'sqft_min': 500}"
45,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2396854, 'name': '340 E 58th St', 'price_max': 2000, 'price_min': 1500, 'source_id': '0jk4bc3', 'sqft_max': 900, 'sqft_min': 500}"
46,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 1, 'id': 2394705, 'name': '43-39 158th St', 'price_max': 1375, 'price_min': 1375, 'source_id': 'd8f6t4k', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
47,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(877) 957-1775', 'id': 2294958, 'name': 'Stonehenge 33', 'price_max': 4490, 'price_min': 2660, 'source_id': '4zkjnnh', 'sqft_max': 939, 'sqft_min': 472}"
48,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(585) 643-7081', 'id': 2073897, 'name': 'Stonehenge 57', 'price_max': 7286, 'price_min': 2080, 'source_id': 'z8qw9ly', 'sqft_max': 730, 'sqft_min': 556}"
49,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'id': 2378131, 'name': '3572-3576 Dekalb Ave', 'price_max': 2300, 'price_min': 1395, 'source_id': 'k3y8wdc', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
50,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(516) 888-5395', 'id': 2378128, 'name': '1511-1521 Sheridan Ave', 'price_max': 1575, 'price_min': 1395, 'source_id': 'chkm1ge', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
51,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 1, 'contact_number': '(518) 313-1049', 'id': 2326656, 'name': 'THE WELLESLEY', 'price_max': 6500, 'price_min': 3500, 'source_id': '0y2epg3', 'sqft_max': 1350, 'sqft_min': 650}"
52,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2378129, 'name': '922-950 Bronx Park South', 'price_max': 1950, 'price_min': 1475, 'source_id': 'e57srkp', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
53,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4350', 'id': 2376284, 'name': '40 Park Avenue', 'price_max': 3350, 'price_min': 2500, 'source_id': 'pce2swv', 'sqft_max': 628, 'sqft_min': 500}"
54,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4345', 'id': 2376262, 'name': '300 East 57th Street', 'price_max': 3150, 'price_min': 2800, 'source_id': '1brxtp6', 'sqft_max': 628, 'sqft_min': 538}"
55,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2396854, 'name': '340 E 58th St', 'price_max': 2000, 'price_min': 1500, 'source_id': '0jk4bc3', 'sqft_max': 900, 'sqft_min': 500}"
56,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 1, 'id': 2394705, 'name': '43-39 158th St', 'price_max': 1375, 'price_min': 1375, 'source_id': 'd8f6t4k', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
57,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(877) 957-1775', 'id': 2294958, 'name': 'Stonehenge 33', 'price_max': 4490, 'price_min': 2660, 'source_id': '4zkjnnh', 'sqft_max': 939, 'sqft_min': 472}"
58,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(585) 643-7081', 'id': 2073897, 'name': 'Stonehenge 57', 'price_max': 7286, 'price_min': 2080, 'source_id': 'z8qw9ly', 'sqft_max': 730, 'sqft_min': 556}"
59,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'id': 2378131, 'name': '3572-3576 Dekalb Ave', 'price_max': 2300, 'price_min': 1395, 'source_id': 'k3y8wdc', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
60,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(516) 888-5395', 'id': 2378128, 'name': '1511-1521 Sheridan Ave', 'price_max': 1575, 'price_min': 1395, 'source_id': 'chkm1ge', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
61,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 1, 'contact_number': '(518) 313-1049', 'id': 2326656, 'name': 'THE WELLESLEY', 'price_max': 6500, 'price_min': 3500, 'source_id': '0y2epg3', 'sqft_max': 1350, 'sqft_min': 650}"
62,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2378129, 'name': '922-950 Bronx Park South', 'price_max': 1950, 'price_min': 1475, 'source_id': 'e57srkp', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
63,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4350', 'id': 2376284, 'name': '40 Park Avenue', 'price_max': 3350, 'price_min': 2500, 'source_id': 'pce2swv', 'sqft_max': 628, 'sqft_min': 500}"
64,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4345', 'id': 2376262, 'name': '300 East 57th Street', 'price_max': 3150, 'price_min': 2800, 'source_id': '1brxtp6', 'sqft_max': 628, 'sqft_min': 538}"
65,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(888) 732-6031', 'id': 1608323, 'name': 'Murray Hill Marquis', 'price_max': 4445, 'price_min': 2280, 'source_id': '73ymnfy', 'sqft_max': 1015, 'sqft_min': 408}"
66,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2396854, 'name': '340 E 58th St', 'price_max': 2000, 'price_min': 1500, 'source_id': '0jk4bc3', 'sqft_max': 900, 'sqft_min': 500}"
67,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 1, 'id': 2394705, 'name': '43-39 158th St', 'price_max': 1375, 'price_min': 1375, 'source_id': 'd8f6t4k', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
68,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(877) 957-1775', 'id': 2294958, 'name': 'Stonehenge 33', 'price_max': 4490, 'price_min': 2660, 'source_id': '4zkjnnh', 'sqft_max': 939, 'sqft_min': 472}"
69,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(585) 643-7081', 'id': 2073897, 'name': 'Stonehenge 57', 'price_max': 7286, 'price_min': 2080, 'source_id': 'z8qw9ly', 'sqft_max': 730, 'sqft_min': 556}"
70,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'id': 2378131, 'name': '3572-3576 Dekalb Ave', 'price_max': 2300, 'price_min': 1395, 'source_id': 'k3y8wdc', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
71,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(516) 888-5395', 'id': 2378128, 'name': '1511-1521 Sheridan Ave', 'price_max': 1575, 'price_min': 1395, 'source_id': 'chkm1ge', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
72,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 1, 'contact_number': '(518) 313-1049', 'id': 2326656, 'name': 'THE WELLESLEY', 'price_max': 6500, 'price_min': 3500, 'source_id': '0y2epg3', 'sqft_max': 1350, 'sqft_min': 650}"
73,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2378129, 'name': '922-950 Bronx Park South', 'price_max': 1950, 'price_min': 1475, 'source_id': 'e57srkp', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
74,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4350', 'id': 2376284, 'name': '40 Park Avenue', 'price_max': 3350, 'price_min': 2500, 'source_id': 'pce2swv', 'sqft_max': 628, 'sqft_min': 500}"
75,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4345', 'id': 2376262, 'name': '300 East 57th Street', 'price_max': 3150, 'price_min': 2800, 'source_id': '1brxtp6', 'sqft_max': 628, 'sqft_min': 538}"
76,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(888) 732-6031', 'id': 1608323, 'name': 'Murray Hill Marquis', 'price_max': 4445, 'price_min': 2280, 'source_id': '73ymnfy', 'sqft_max': 1015, 'sqft_min': 408}"
77,"{'baths_max': 3, 'baths_min': 1, 'beds_max': 4, 'beds_min': 0, 'contact_number': '(844) 500-8654', 'id': 2221501, 'name': 'Jackson Park Luxury Rentals', 'price_max': 5793, 'price_min': 1875, 'source_id': 'jn8k3g6', 'sqft_max': 1, 'sqft_min': 1}"
78,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2396854, 'name': '340 E 58th St', 'price_max': 2000, 'price_min': 1500, 'source_id': '0jk4bc3', 'sqft_max': 900, 'sqft_min': 500}"
79,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 1, 'id': 2394705, 'name': '43-39 158th St', 'price_max': 1375, 'price_min': 1375, 'source_id': 'd8f6t4k', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
80,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(877) 957-1775', 'id': 2294958, 'name': 'Stonehenge 33', 'price_max': 4490, 'price_min': 2660, 'source_id': '4zkjnnh', 'sqft_max': 939, 'sqft_min': 472}"
81,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(585) 643-7081', 'id': 2073897, 'name': 'Stonehenge 57', 'price_max': 7286, 'price_min': 2080, 'source_id': 'z8qw9ly', 'sqft_max': 730, 'sqft_min': 556}"
82,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'id': 2378131, 'name': '3572-3576 Dekalb Ave', 'price_max': 2300, 'price_min': 1395, 'source_id': 'k3y8wdc', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
83,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(516) 888-5395', 'id': 2378128, 'name': '1511-1521 Sheridan Ave', 'price_max': 1575, 'price_min': 1395, 'source_id': 'chkm1ge', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
84,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 1, 'contact_number': '(518) 313-1049', 'id': 2326656, 'name': 'THE WELLESLEY', 'price_max': 6500, 'price_min': 3500, 'source_id': '0y2epg3', 'sqft_max': 1350, 'sqft_min': 650}"
85,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2378129, 'name': '922-950 Bronx Park South', 'price_max': 1950, 'price_min': 1475, 'source_id': 'e57srkp', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
86,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4350', 'id': 2376284, 'name': '40 Park Avenue', 'price_max': 3350, 'price_min': 2500, 'source_id': 'pce2swv', 'sqft_max': 628, 'sqft_min': 500}"
87,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4345', 'id': 2376262, 'name': '300 East 57th Street', 'price_max': 3150, 'price_min': 2800, 'source_id': '1brxtp6', 'sqft_max': 628, 'sqft_min': 538}"
88,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(888) 732-6031', 'id': 1608323, 'name': 'Murray Hill Marquis', 'price_max': 4445, 'price_min': 2280, 'source_id': '73ymnfy', 'sqft_max': 1015, 'sqft_min': 408}"
89,"{'baths_max': 3, 'baths_min': 1, 'beds_max': 4, 'beds_min': 0, 'contact_number': '(844) 500-8654', 'id': 2221501, 'name': 'Jackson Park Luxury Rentals', 'price_max': 5793, 'price_min': 1875, 'source_id': 'jn8k3g6', 'sqft_max': 1, 'sqft_min': 1}"
90,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(844) 809-6381', 'id': 2309764, 'name': 'The Smile', 'price_max': 4110, 'price_min': 2171, 'source_id': '4mjv8tk', 'sqft_max': 1009, 'sqft_min': 470}"
91,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2396854, 'name': '340 E 58th St', 'price_max': 2000, 'price_min': 1500, 'source_id': '0jk4bc3', 'sqft_max': 900, 'sqft_min': 500}"
92,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 1, 'id': 2394705, 'name': '43-39 158th St', 'price_max': 1375, 'price_min': 1375, 'source_id': 'd8f6t4k', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
93,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(877) 957-1775', 'id': 2294958, 'name': 'Stonehenge 33', 'price_max': 4490, 'price_min': 2660, 'source_id': '4zkjnnh', 'sqft_max': 939, 'sqft_min': 472}"
94,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(585) 643-7081', 'id': 2073897, 'name': 'Stonehenge 57', 'price_max': 7286, 'price_min': 2080, 'source_id': 'z8qw9ly', 'sqft_max': 730, 'sqft_min': 556}"
95,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'id': 2378131, 'name': '3572-3576 Dekalb Ave', 'price_max': 2300, 'price_min': 1395, 'source_id': 'k3y8wdc', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
96,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(516) 888-5395', 'id': 2378128, 'name': '1511-1521 Sheridan Ave', 'price_max': 1575, 'price_min': 1395, 'source_id': 'chkm1ge', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
97,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 1, 'contact_number': '(518) 313-1049', 'id': 2326656, 'name': 'THE WELLESLEY', 'price_max': 6500, 'price_min': 3500, 'source_id': '0y2epg3', 'sqft_max': 1350, 'sqft_min': 650}"
